n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
183,23016,neutre,6,1,1,0,1,179,10,7,7,4,67,14,15,12,11,3,1,0,0,0,39,3,1,2,3
184,23231,neutre,5,2,1,1,1,145,7,6,4,3,32,12,11,10,9,1,0,0,0,0,38,4,2,3,4
185,23236,neutre,7,3,2,1,2,118,5,6,3,3,20,11,9,9,9,0,0,0,0,0,39,5,3,3,5
186,23429,neutre,7,5,5,1,4,98,4,6,2,2,16,10,7,8,8,0,0,0,0,0,31,6,5,3,5
187,23431,neutre,7,5,5,1,4,98,4,6,2,2,16,10,7,8,8,0,0,0,0,0,31,6,5,3,5
188,23648,neutre,13,11,14,2,6,57,4,5,2,1,11,7,3,7,8,0,0,1,1,0,22,12,15,3,7
189,23851,neutre,18,14,19,3,7,39,5,5,2,1,9,5,2,7,9,1,1,1,1,1,22,14,21,4,7
190,23851,neutre,25,16,23,4,8,29,6,4,2,1,6,3,2,7,9,3,2,2,2,2,26,16,25,5,7
191,24080,neutre,40,18,25,6,7,22,7,5,2,1,3,2,1,7,10,6,3,3,3,3,35,17,27,7,6
192,24082,neutre,95,17,15,12,6,18,12,9,2,2,2,3,4,8,12,20,5,3,5,6,76,15,17,14,5
193,24290,neutre,99,16,11,13,6,16,13,11,2,2,3,5,5,8,13,22,5,3,5,6,77,14,12,15,5
194,24290,neutre,95,16,8,14,6,15,15,13,2,2,4,8,7,9,13,21,5,3,5,5,74,14,9,15,5
195,24517,neutre,76,17,6,14,5,14,17,14,3,2,6,11,9,9,12,19,5,3,4,5,59,14,8,14,5
196,24723,neutre,57,17,7,12,5,13,17,14,3,2,8,14,11,8,11,16,5,3,4,4,47,15,8,13,5
197,24728,neutre,35,17,7,10,5,13,16,13,3,2,9,15,11,8,9,14,5,3,4,3,33,15,9,11,5
198,24954,neutre,23,16,7,8,5,15,14,11,3,2,10,15,10,8,7,13,4,3,4,3,28,14,10,11,5
199,24957,neutre,18,14,7,7,5,30,14,10,3,2,9,13,8,7,7,13,4,2,4,2,28,12,10,13,5
